Names,PC1,PC2,PC3,PC4,PC5,PC6
Abilene Christian University,-1.5928554035481581,0.7673335099647854,-0.10107353731058431,0.9217493979898965,-0.743975397849558,-0.2983060809639732
Adelphi University,-2.192401797760432,-0.5788299835835189,2.2787981151083354,-3.58891823134805,1.0599966047827298,-0.17713730901279678
Adrian College,-1.4309637128321366,-1.0928188915609531,-0.43809281134328176,-0.6772405275009772,-0.3696132742650947,-0.9605916885982818
Agnes Scott College,2.8555574267048787,-2.6306123851215033,0.14172212149397553,1.29548599902294,-0.18383713965471526,-1.0595084730256288
Alaska Pacific University,-2.212007633553983,0.021630813901367625,2.387029795834922,1.11453844757596,0.6844506997261453,0.004917970635879035
Albertson College,-0.5716652899434185,-1.4963246547267088,0.024354077594521975,-0.06694356843492932,-0.37626144432022096,-0.6683435012883187
Albertus Magnus College,0.24195219359058792,-1.5063675415214677,0.23419429731414584,1.1420242438056487,1.5469832080250199,-0.009994687528972864
Albion College,1.7504743468692239,-1.4614123467515199,-1.0265890500386843,0.9811842106927074,0.21704361246275836,0.22292398070523653
Albright College,0.7691269674142246,-1.984433349729299,-1.4260521785507785,0.07142428556550953,0.5863801806852539,-0.6551793668801834
Alderson-Broaddus College,-2.770721092027312,-0.8446106093048233,1.627986665529722,-1.7050912226858996,-1.0198256009161824,-0.794400685665078
Alfred University,1.784583381203707,-1.8898629772750284,-0.5526735697921163,0.039531285936788854,0.4801549980894329,0.19976055501568812
Allegheny College,2.0459302372679553,-2.099196095358628,-1.0791264284053912,-0.17462103718149172,-0.2982007067405302,-0.5833813019615295
Allentown Coll. of St. Francis de Sales,-0.09278896503591054,-1.078817682496546,0.13334191903677575,-0.13108793807609925,-0.26460653817422564,0.5813844812597022
Alma College,0.869119447868706,-1.549200216863863,-1.5152139661142652,0.5275785885471512,-0.29225850393318564,0.29900291345519375
Alverno College,-2.1073726050481265,-0.4878685055663147,1.918982688102191,-0.505398954597516,-0.9360274549111421,-0.9805957618180902
American International College,-1.3980873784187366,-0.496393561725788,-0.4308557699552443,0.4630785713037907,1.34565430645613,0.12521038319840594
Amherst College,5.522192587888315,-3.148724938977439,0.7348958348740637,0.2910678475794433,-1.6398004775726513,-0.3757860851442794
Anderson University,-2.129922317851755,-0.6251721819801047,0.3187622883578966,-1.160495708576511,-0.20284335885336452,-0.4255263305194595
Andrews University,-2.0953764840007096,-0.4014532970941247,2.0445100546329784,-0.48266464010622795,-0.02295743788980236,0.4623951264051927
Angelo State University,-2.754957893311896,2.235304009166335,0.0029441616746477884,0.44427905136478446,-0.7413288653935175,0.16531580320590541
Antioch University,1.4469057198726631,-2.4278055594296837,0.9740823392498443,-0.08724866175991078,0.558344845498714,-3.009776900480022
Appalachian State University,0.0465513245820784,2.9467988283490314,-2.609310427290183,1.0818854461434806,-0.7057697584543973,-1.377028398670601
Aquinas College,-1.5509661518953741,-1.0156621343949699,-0.32347021975367873,-0.4622578966719786,-0.14978844922987883,-1.1341101030110816
Arizona State University Main campus,1.8431918767790312,7.922701277671384,0.4929585866260859,-0.1392011929434944,1.7066215226647032,0.09568894421575395
Arkansas College (Lyon College),0.4732315098417255,-1.3659468467685125,-0.16700769815075367,1.125539548785362,-0.700495258712342,-0.34814457944697613
Arkansas Tech University,-3.1991110591434166,1.3905179014931426,-0.9575592328203962,-0.12014550638977131,-0.8119201883700572,0.11880801966302589
Assumption College,1.25403503643008,-1.2292515659645522,-1.2103242023683014,0.40101274658683317,1.2851728115018581,1.1343046384593918
Auburn University-Main Campus,1.2574452390021214,4.270767785335,-0.49730282084114197,-0.14262668145552104,-0.37670753257034817,0.31061019581519833
Augsburg College,-1.5542788533885894,-1.1142104733699247,-0.01838813741730958,-0.6103055084439556,0.7435394159020325,-0.1682976589337687
Augustana College IL,0.9507701702769317,-1.4374676628984204,-0.652889040602427,0.11373816949152069,-0.5922343330418677,0.22311727482062294
Augustana College,-0.8673455412425695,-1.2618152387190953,0.037935536176252116,-0.3289201375043576,-0.7754494187353494,-0.09240206913556027
Austin College,1.0896710665221563,-1.5321435497332245,-0.8258077618912911,1.107456250827902,-0.5287480662139804,-0.345580938185562
Averett College,-2.562802584095558,0.12808707008580436,0.7212386795366648,0.07674598028362933,0.07193814954071577,1.6704543430412497
Baker University,-1.7311997418475435,-0.718666677064113,0.4190235026077,-0.07366641252301742,-0.3809705431040862,-1.3238219980727364
Baldwin-Wallace College,-0.01789391362878111,-0.15734901997202946,1.2694480830738022,-0.5638120525767585,-0.514995467547519,2.556866356422408
Barat College,-1.1058108075038906,-1.9666035910817277,-0.44483811637082826,-0.7378581279797447,0.5200272229132851,-0.2541030427758698
Bard College,3.407922403120171,-2.4358128287553322,0.7425251231277111,0.622531030750527,0.5943329976933435,1.1934841029931322
Barnard College,3.8332243042327723,-2.519458223224206,0.283846783903214,-0.48919801346459446,0.95731390067926,0.9013420050178628
Barry University,-0.4868634030104215,-0.11210553892643435,1.1759375617372199,0.40272655742574476,1.477945331990494,-0.14089149616533025
Baylor University,0.814962227749616,2.1306107720645926,-0.983702337326301,-0.8734966839217697,-1.4880856884717446,0.7141222116704369
Beaver College,0.48240675984086423,-1.5927551935522282,-0.8834884327188183,0.2965236554650402,1.0408176727178802,-0.07070096670010675
Bellarmine College,-0.07999142113934801,-0.922738388286378,0.3303573026958087,0.4791286784351402,-1.6335184503275546,0.9483332690976245
Belmont Abbey College,-1.5124807198765053,-0.2986189677044994,0.2248509438931597,1.3690474232439451,0.9524769027429246,-1.3158154507084245
Belmont University,-1.325490136553209,-0.5228615739420729,0.5984779385387555,-0.4987718420685623,-0.8844057491210984,-0.10275848158557246
Beloit College,0.8202602422610655,-1.7109773279773666,-1.1142504851786073,0.8885546419207954,0.6107006868373989,-0.7369121150926877
Bemidji State University,-3.406155658977615,1.1664303797388338,0.44172835552805695,0.20066525917610212,-0.999376528283942,0.5574284744816582
Benedictine College,-1.987639420900073,-0.9124459114059216,-1.5080283902402107,0.12860220840334616,1.2081712759778132,-0.08341114333521085
Bennington College,-0.3847775418722659,-2.8389060470134035,0.7882727073503789,-2.2804460072083304,0.15697703358721388,-0.8126265220469852
Bentley College,1.0742395793567023,-0.19896190911414832,-0.3004695154809871,0.11851709730560893,1.2276053026707638,1.3773668056164832
Berry College,-0.31866811358974784,-0.01636955905925537,-0.18989396863063907,1.2582994172805315,-0.999078152511864,-0.9385030931793145
Bethany College,-1.9409282459489527,-0.7377070216999368,0.5803525889581351,0.026722021907844888,-0.5009317330557846,-0.7627045656736057
Bethel College KS,-1.377306008543837,-1.3720081362076,0.2881230379286557,0.2124500082417006,-0.2340238976772712,-0.9518524756836744
Bethel College,-3.1274066281856876,-0.4692985823593908,0.42338829926182797,-0.04422420345566632,0.06975642335785134,-0.3097332260073307
Bethune Cookman College,-3.3298837439715587,0.5548508857418979,1.5920426995526773,-1.0852767759063862,-0.8845307567960975,-0.5383449213438423
Birmingham-Southern College,1.197546553730252,-1.743705730923166,-1.0383965387726035,0.4834771515438591,-1.6315440497163982,-0.22672206393389172
Blackburn College,-1.0837305661489547,-1.270335043956496,-0.8621498156712574,0.9539920970314875,-1.463821794525864,-0.28693052030574195
Bloomsburg Univ. of Pennsylvania,-1.011799714040352,1.5091175880598,-0.7088809282244629,-0.6155928572521417,-0.958936414887142,0.038590569980866005
Bluefield College,-2.9110120847938625,-0.0590264096477965,-0.07253088085651958,0.09529833925778008,0.5764278661538338,0.07631744147229551
Bluffton College,-1.193110272619505,-1.0563599452493353,-0.7055423067951041,0.2674425339315553,0.23326402847590708,-0.4636223001370642
Boston University,5.607082926415557,4.613620614765416,-0.6382824217833698,-3.5405683509485595,1.6924546338386286,-0.9201523887391237
Bowdoin College,5.372798515162307,-2.7369983939107945,3.637623115394947,-0.2646539786141269,-1.5965368778690698,3.718173886269711
